"fieldType";"createdAt";"updatedAt";"f_id";"f_name";"is_label";"label_key";"f_description";"f_grp_cd";"is_system_field";"f_icon_class";"f_min_length";"f_max_length"
"";"";"";"f609";"event_location";"Y";"label.event.location";"label.event.location.desc";"f609";"Y";"pencil";0;255
"";"";"";"f610";"event_location";"N";"label.event.location";"label.event.location.desc";"f609";"Y";"pencil";0;255
"";"";"";"f611";"assign_auto_time";"Y";"label.event.auto.time";"label.event.auto.time.desc";"f611";"Y";"pencil";0;255
"";"";"";"f612";"assign_auto_time";"N";"label.event.auto.time";"label.event.auto.time.desc";"f611";"Y";"pencil";0;255
"";"";"";"f613";"event_details";"Y";"label.event.detail";"label.event.detail.desc";"f613";"Y";"pencil";0;255
"";"";"";"f614";"event_details";"N";"label.event.detail";"label.event.detail.desc";"f613";"Y";"pencil";0;255
"";"";"";"f615";"event_all_day";"Y";"label.event.all.day";"label.event.all.day.desc";"f615";"Y";"pencil";0;255
"";"";"";"f616";"event_all_day";"N";"label.event.all.day";"label.event.all.day.desc";"f615";"Y";"pencil";0;255
"";"";"";"f617";"event_name";"Y";"label.event.name";"label.event.name.desc";"f617";"Y";"pencil";0;255
"";"";"";"f618";"event_name";"N";"label.event.name";"label.event.name.desc";"f617";"Y";"pencil";0;255
"";"";"";"f619";"event_status";"Y";"label.event.status";"label.event.status.desc";"f619";"Y";"pencil";0;255
"";"";"";"f620";"event_status";"N";"label.event.status";"label.event.status.desc";"f619";"Y";"pencil";0;255
"";"";"";"f621";"event_reminder";"Y";"label.event.reminder";"label.event.reminder.desc";"f621";"Y";"pencil";0;255
"";"";"";"f622";"event_reminder";"N";"label.event.reminder";"label.event.reminder.desc";"f621";"Y";"pencil";0;255
